Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Machine Learning with Scikit-Learn,"The ability to apply machine learning algorithms is an important part of a data scientist’s skill set. scikit-learn is a popular open-source Python library that offers user-friendly and efficient versions of common machine learning algorithms. In this course, data scientist Michael Galarnyk explains how to use scikit-learn for supervised and unsupervised machine learning. Michael reviews the benefits of this easy-to-use API and then quickly segues to practical techniques, starting with linear and logistic regression, decision trees, and random forest models. In chapter three, he covers unsupervised learning techniques such as K-means clustering and principal component analysis (PCA). Plus, learn how to create scikit-learn pipelines to make your code cleaner and more resilient to bugs. By the end of the course, you'll be able to understand the strengths and weaknesses of each scikit-learn algorithm and build better, more efficient machine learning models.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2025-07-06 00:22 UTC,2025-07-06 00:22 UTC,true,N/A,
Azure DevOps: Continuous Delivery with YAML Pipelines (2020),"Azure pipelines can now be defined in YAML files, which can be managed and evolved to meet modern continuous delivery requirements. YAML pipelines are versioned with your code, allowing you to easily identify issues and roll back changes. A key skill for DevOps engineers, YAML pipelines are also a key topic on the Microsoft Azure DevOps Solutions (AZ-400) certification exam. In this course, Mike Benkovich covers the YAML pipeline development workflow in Azure, including creating and editing pipelines; adding jobs, tasks, and steps; customizing workflows with triggers and variables; and deploying jobs and stages. Plus, learn how to leverage templates, variable libraries, PowerShell and Bash scripts, and containers in your Azure pipelines for maximum efficiency and functionality.",Course,N/A,N/A,true,N/A,
Learning Azure SQL Querying,"<p>Azure SQL allows you to go live within minutes, using a cloud-hosted database. It provides a great way to begin your journey of learning SQL for data processing and analytics. In this course, Jeremy Villeneuve guides you through the process of getting started. Jeremy goes over what SQL is, as well as common statements and differences in SQL engines. He presents an Azure SQL quick start guide, then shows you how to create new records using the Azure Query Editor. Jeremy explains how to read data in Azure SQL database records, as well as how to update existing data. Each chapter in this course includes a challenge and sample solution, so you can test your understanding of what you learn.</p>",Course,2025-07-16 19:29 UTC,2025-07-16 19:29 UTC,true,N/A,
IT Service Desk: Monitoring and Metrics Fundamentals,"<p>IT service management (ITSM) metrics provide organizations with a detailed view of how their service desk is faring. Are they meeting their business goals and keeping their customers happy? It's all in the data. But determining which metrics to measure—and how those metrics will impact reporting—can be tricky. In this course, instructor Brett Moffett shares industry best practices on collecting ITSM metrics for the purpose of monitoring performance and customer satisfaction in a service-focused environment. Instead of focusing on specific ITSM software solutions or tools, Brett takes a platform-agnostic look at these tactics. He shows how to collect high-quality data points; ensure specific outcomes can be derived from your reporting; select which metrics to measure; and more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/atlassian-it-service-management-itsm-professional-certificate"" >Professional Certificate</a> from Atlassian.</p>",Course,2025-12-15 07:14 UTC,2025-12-15 07:09 UTC,false,N/A,
IT Service Management Foundations: Problem Management,"<p>When problem management is done well, it can create change in a company that improves customer experience, the bottom line, and the products created. In this course, learn what problem management is, how it is performed, how to measure its success, and how to support it in your business. Learn about some of the common terms and roles involved in problem management. Discover best practices for solving problems and how to prioritize projects so that customer experience is the first thing to improve. Explore the tools and techniques that can help you to track, prioritize, identify the root cause of problems, and resolve technical issues with permanent solutions so you can approach the next trouble spot with confidence, instead of panic.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/atlassian-it-service-management-itsm-professional-certificate"" >Professional Certificate</a> from Atlassian.</p>",Course,2025-12-15 06:54 UTC,2025-12-15 06:53 UTC,false,N/A,
Supercharge the Development Process with GitHub Extensions for Copilot Chat,"In this course, we’ll explore how GitHub Extensions for Copilot Chat can transform your development environment through new external tools and integrations. You’ll learn how to navigate the prerequisites for using GitHub Extensions, how to install and manage them, and how Copilot Chat utilizes extensions to streamline your development process. You’ll also be guided through the GitHub Marketplace so that you can find the best extensions to enhance your productivity and make coding more efficient.",Course,2025-07-18 20:35 UTC,2025-07-18 20:23 UTC,false,N/A,
Responsible GitHub Copilot: Creating Reliable Code Ethically,"GitHub Copilot offers speed and ease, but getting things right, both in code and on the more human side, is challenging. You can use GitHub Copilot to create code instantly, as well as inspect and test it, but how can you be sure you’re getting the right code for the right purpose?  In this course, DevOps professional and consultant Rob Bos shows you how. Learn how to avoid introducing bias into your applications and keep your generated code clean and maintainable. Explore ways to monitor your code with tests, especially a security test plan. With this course, you can ensure that you are the pilot, in control at all times, while using Copilot.",Course,2025-07-18 21:22 UTC,2025-07-18 21:20 UTC,false,N/A,
Train Your Brain to Develop Better Habits,"In this course, Dr. Judson Brewer—an addiction psychiatrist, neuroscientist, New York Times bestselling author, and professor—explores the science behind habit formation and provides evidence-based strategies to help you develop and transform your habits. Learn why and how we form habits, as well as the role of triggers and external factors in this process. Build awareness of your own habit loops and develop practical methods to change them. Plus, explore ways to recognize the negative impact of certain habits, implement strategies to unwind them, and leverage reward-based learning to foster new habits.",Course,2025-08-05 01:08 UTC,2025-08-05 01:06 UTC,false,N/A,
"Algorithmic Trading and Finance Models with Python, R, and Stata Essential Training","Many stock market trades are conducted with algorithms, or “algos,” computer programs that buy or sell stocks according to mathematical formulas. These equity trades happen at a speed and frequency that humans cannot replicate. It's important for finance professionals and everyone who invests in the stock market to understand how these algorithms work. In this course, Professor Michael McDonald shows you how to develop a back-tested, rules-based trading strategy and program a simple trading algorithm of your own. Professor McDonald goes over the basics of securities markets, from stocks, bonds, and derivatives to predicting values with regressions, before turning to investing and securities fundamentals. Find out what it takes to build your own algorithms, as well as buy, sell, and expand them to other securities. Plus, Professor McDonald covers practical examples and case studies of trading with algorithms.",Course,2025-08-21 17:55 UTC,N/A,false,N/A,
Learning Microsoft 365 Copilot for Work (2024),"<p>Discover how—through Copilot—AI can help you create documents, summarize messages, and analyze data from natural language requests in Word, Excel, Outlook, Teams, and PowerPoint. Staff instructor Nick Brazzi also introduces Microsoft 365 Business Chat, which allows you to ask questions and make requests using secure data from your calendar, messages, and files.</p>
<p>This course is part of these Professional Certificates from Microsoft:<br>
<ul>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-marketing-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Generative AI for Marketing with Microsoft 365 Copilot</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-sales-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Generative AI for Sales with Microsoft 365 Copilot</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-customer-service-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Generative AI for Customer Service with Microsoft 365 Copilot</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/microsoft-copilot-for-productivity-by-microsoft-and-linkedin"" target=""_blank"">Microsoft Copilot for Productivity by Microsoft and LinkedIn</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Career Essentials in Generative AI by Microsoft and LinkedIn</a></li>
</ul></p>",Course,2025-08-27 20:11 UTC,2025-08-27 20:11 UTC,false,N/A,
Recurrent Neural Networks,"Get started with recurrent neural network (RNN) concepts in a simplified way and build simple applications with RNNs and Keras. RNN is a fast-growing domain within the AI world. Popular groundbreaking applications like language translation, speech synthesis, question answering, and text generation use RNNs as their base technology. Studying this technology, however, has several challenges. Most learning resources are math heavy and are difficult to navigate without good math skills. IT professionals from varying backgrounds need a simplified resource to learn the concepts and build models quickly. In this course, Kumaran Ponnambalam provides a simplified path to studying the basics of recurrent neural networks, allowing you to become productive quickly. Kumaran starts with a simplified introduction of RNN before walking through the process of building a model. He then covers the popular building blocks of RNN with GRUs, LSTMs, word embeddings, and transformers.",Course,N/A,N/A,true,N/A,
Building Deep Learning Applications with Keras,"Keras, a high-level neural networks API, is gaining popularity for its ease of use and versatility. With businesses rapidly moving towards AI solutions, you need an understanding of this valuable tool. In this course, data scientist Isil Berkun introduces you to Keras, highlights integrating it with TensorFlow and Theano backends, and offers practical insights into creating neural networks. Learn how to set up Keras, create neural networks, and use pre-trained models. Find out how to deploy models on platforms like Google Cloud. When you complete this course, you will be able to understand the Keras architecture, design and train deep learning models, and utilize them for real-world applications.",Course,2025-07-10 07:17 UTC,2025-07-10 07:15 UTC,false,N/A,
Advanced Microsoft Fabric Implementation and Governance,"Microsoft Fabric is an integrated cloud data environment that includes data lakehouses, warehousing, data transformation, and machine learning. It can combine data from several sources into one environment, simplifying your various tools into a single solution. If you’ve started on learn some of the broader aspects of Fabric and want to dive deeper, join Microsoft Data Platform MVP and Microsoft Certified Trainer Ginger Grant in this course as she shows you the essential aspects for developing and managing Microsoft Fabric, so you can be prepared to scale your projects to provide organization-wide solutions in Microsoft Fabric. Learn advanced features like governance, source control, pipeline development, and data transformation with Spark.",Course,N/A,N/A,true,N/A,
Learning Python (2021),"<p>Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2025-08-04 21:53 UTC,2025-08-04 21:47 UTC,false,N/A,
Microsoft Fabric Data Flows and Data Storage,"<p>Microsoft Fabric is an integrated cloud data environment that includes data lakehouses, data warehousing, data transformation, and machine learning. Explore the different components of data in Microsoft Fabric as well as how to get started organizing data lakes, developing and managing data factory pipelines, and implementing data engineering solutions with third-party notebooks, Python, and Spark. Instructor Ginger Grant also shows you how to secure data stored in one lake and in data lakes within Microsoft Fabric.</p><p>This course is designed for analytics professionals with data and dimensional modeling experience who are interested in learning how Microsoft Fabric can be applied to enterprise data environments.</p>",Course,N/A,N/A,true,N/A,
Machine Learning with Python: Decision Trees,"Decision trees are one of the most common approaches used in supervised machine learning. Building a decision tree allows you to model complex relationships between variables by mimicking if-then-else decision-making as a naturally occurring human behavior. In this course, instructor Frederick Nwanganga gives you an overview of how to collect, explore, and transform your data in preparation for building decision tree models in Python.<br><br>Discover the power of decision trees, what they are, how they are built, and how they quantify impurity within a partition. Get tips from Frederick on building, visualizing, pruning, and using a decision tree in Python including classification trees and regression trees. By the end of this course, you’ll be ready to start making your own models and applying them to different domains.",Course,2025-08-08 18:15 UTC,N/A,false,N/A,
Closing the Green Skills Gap to Power a Greener Economy and Drive Sustainability,"<p>As nations and industries worldwide make commitments toward a more environmentally sustainable future, many questions must be considered. How can our economies grow more thoughtfully, focus on sustainability, and counteract climate change while also providing new opportunities for the global workforce? In this course, Sue Duke, LinkedIn Vice President, Head of Global Public Policy and the Economic Graph Team, examines how the world of work is changing to adapt to the green economy, what jobs and skills are on the rise, how sectors and countries are adapting to focus on sustainability, and what leaders need to do to prepare their workforces. Adapting to this new economy may seem daunting, but the good news is that a green economy is not only good for the planet—it can also create new opportunities. If you’re looking for practical advice about what you, your organization, businesses, and governments can do to embrace and take advantage of this rapid economic shift, join Sue in this course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-sustainable-tech-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-07-08 03:44 UTC,2024-09-05 06:40 UTC,false,N/A,
Learning  Microsoft Fabric,"When Microsoft CEO Satya Nadella announced Fabric at the spring 2023 Build conference, he called it the most significant announcement for business data users since the launch of the first version of SQL Server. But what is Fabric? How does it work, and what does it do that can help you? In this course, join instructor Ginger Grant as she covers the essentials of Microsoft Fabric: its architecture, data integration functionalities, storage options, advanced analytic features, and more. Get a step-by-step overview of how to add sample data to the Fabric environment, exploring various components such as OneLake, lakehouses, and SQL databases. Along the way, gather insights on techniques for transforming data, using data shortcuts, and leveraging AI skills within Fabric.",Course,2025-07-17 20:03 UTC,2025-07-17 20:01 UTC,true,N/A,
Building in Microsoft Copilot Studio,"<p>Microsoft Copilot Studio is a low-code, easy-to-use platform that lets you quickly create and publish AI-powered agents based on your own unique business needs. In this course, instructor Bryan Li shows you how to get started.</p><p>Explore the rise of generative AI, the core concepts of Copilot Studio, and why it can be leveraged so effectively to improve your workflow. Bryan shows you how to build and deploy an AI agent, create generative answers with a variety of data sources, control conversation flow for business topics, and publish your agent on multiple channels, monitoring its performance for improvement as you go. By the end of this course, you’ll be prepared to leverage the powerful functionalities of Microsoft Copilot Studio to drive innovation and business growth.</p>",Course,N/A,N/A,true,N/A,
Learning Git and GitHub,"<div><a href=""https://www.linkedin.com/newsletters/6674822532509655040?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Ray's LinkedIn Newsletter</a></div><br>Version Control lets you manage changes you've made to files over time, and is an essential skill for developers to master. Git is by far the most popular version control system on the web. In this fast-paced course, Ray Villalobos shows you the fundamental commands that you need to work with most Git projects. He explains how to use checkpoints called commits, which let you leave messages documenting what happened at each checkpoint, as well as how to create branches that are alternate versions of your project that you can work on without changing the original. Ray also shows how to work with the popular GitHub website, going in depth with repositories and projects. Learn about pull requests, how to conduct a code review, and how to clone existing projects onto your local hard drive and use them as templates. Plus, learn about the social aspects of GitHub so you can get comments, opinions, and advice to help you refine your projects.",Course,N/A,N/A,true,N/A,
Learning GitHub (2023),"GitHub is the industry-standard tool for collaborating on and sharing code. It’s popular among software developers, project managers, designers, and students for its flexibility and control. This course introduces GitHub and Git, the version control system that GitHub is built upon. Instructor Emanuele Bartolesi shows how GitHub can create collaborative workflows for you and your team. Explore how version control enables you and your team to track the changes in your files, maintain a history of them, and get some advice to work better with open-source projects. Emanuele gives you the knowledge you need to be able to select appropriate projects to be pushed to GitHub, successfully initialize Git on an existing project, navigate the GitHub UI to perform common tasks like branching, commits, and pull requests, and more.",Course,N/A,N/A,true,N/A,
Introduction to Prompt Engineering for Generative AI,"<p>Learn how to craft high-impact prompts for generative AI tools. Whether you’re a beginner or have been experimenting with generative AI tools, this course offers a great introduction to the art of prompt engineering. Senior AI engineer Ronnie Sheer guides you through what large language models are and what problems they may be able to solve. Ronnie dives into text generation, starting with a warning to use text generation AI responsibly, then moving on to Copilot, ChatGPT, Gemini, and Claude. He introduces you to the AI generated image landscape, then shows you how to use Dall-E and Midjourney. Plus, Ronnie goes over advanced concepts like fine-tuning your prompts and interacting with language models using an API.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/build-your-generative-ai-productivity-skills-with-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,N/A,N/A,true,N/A,
Prompt Engineering with ChatGPT,"<p>ChatGPT has taken the world by storm. However, very few users know how to utilize it to its full potential, and there are so many misconceptions about how to use it effectively. This course debunks the myths and misconceptions about AI and equips you with the skills required to leverage powerful prompt engineering techniques with ChatGPT.</p><p>Join instructor Ronnie Sheer as he provides a comprehensive guide to effectively using ChatGPT in a professional environment. Explore best practices and advanced techniques such as personas, task splitting, custom instructions, multimodality, Socratic prompting, and more. Along the way, Ronnie covers the basics of prompting DALL-E 3 in ChatGPT and shows you how to ensure a secure user experience by using plans and data controls and minimizing hallucinations.</p>",Course,N/A,N/A,true,N/A,
"Foundations of Azure Artificial Intelligence: Concepts, Capabilities, and Implementation","This course introduces fundamentals concepts related to artificial intelligence (AI), along with the services available in Microsoft Azure that can be used to create AI-powered solutions. Build your awareness of common AI workloads and harness your ability to identify Azure services that can support them. Learn how to prepare to develop AI solutions in Azure; create, consume, secure, and monitor Azure AI services; deploy Azure AI services in containers; create a bot with the Bot Framework SDK and the Bot Framework Composer; extract insights from text with the Azure AI Language service; and translate text with Azure AI Translator service.",Course,2025-07-15 19:00 UTC,2025-07-15 19:00 UTC,false,N/A,
Sustainability Foundations: Core Concepts,"<p>Solving the environmental crisis we're in is a critically important topic for everyone to consider in life and at work, from individual contributors to the c-suite. We hear about the climate and biodiversity crisis, and the need to transform business, but the frameworks and jargon can be confusing. What does net zero actually mean? What are the world’s sustainable development goals (SDGs)? What are carbon emissions and how can we reduce them?</p><p>Understanding the three interdependent dimensions of sustainability—specifically the environment, society, and the economy—are where we need to start. In this course, learn how all three of these are essential and how they are interconnected. Join instructor Amy Luers to gain a clearer understanding of some of the concepts and terms everyone needs to understand to make sustainability part of their work and life and help drive the profound transformation that the world so urgently needs.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-sustainable-tech-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-09-05 06:46 UTC,2024-09-05 06:44 UTC,false,N/A,
Introduction to Microsoft Fabric by Microsoft Press,"<p>Explore the extensive features of Microsoft Fabric. Start with the essentials, such as setting up a tenant and utilizing OneLake. Master the organization, loading, and transformation of data through pipelines, dataflows, and notebooks. Gain proficiency in applying T-SQL commands, configuring real-time analytics, and creating detailed paginated reports. Enhance your data management skills with structured approaches for both Fabric Warehouse and Fabric Lakehouse configurations. Additionally, explore machine learning experiments, manage data with Data Activator, and use Purview’s admin monitoring tools. By the end of this course, you’ll be ready to streamline data processes, generate real-time analytics, innovate with machine learning, and make data-driven decisions more effectively. </p>",Course,2025-07-18 20:06 UTC,2025-07-11 05:30 UTC,true,N/A,
Artificial Intelligence Foundations: Machine Learning,"<p>Machine learning is the most exciting branch of artificial intelligence. It allows systems to learn from data by identifying patterns and making decisions with little to no human intervention. In this course, you'll navigate the machine learning lifecycle by getting hands-on practice training your first machine learning model. Join instructor Kesha Williams as she explores widely adopted machine learning methods: supervised, unsupervised, and reinforcement. There's a focus on sourcing and preparing data and selecting the best learning algorithm for your project. After training a model, learn to evaluate model performance using standard metrics. Finally, Kesha shows you how to streamline the process by building a machine learning pipeline. If you’re looking to understand the machine learning lifecycle and the steps required to build systems, check out this course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/machine-learning-statistical-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,2025-07-05 23:56 UTC,2025-07-05 23:54 UTC,false,N/A,
Database Foundations: Database Management,"In the realm of relational databases, the table is the main event, the showstopper, the lead singer, the king. However, there are several other components of databases that are just as vital to a fully functioning system. In this course—the third part of his <i>Database Foundations</i> series—Adam Wilbert turns the spotlight on the supporting cast of database management characters. He covers topics like view objects, query performance, transactions, and stored procedures, and shows how each is an integral part of database management. Adam also includes challenges designed to test your skills as the course advances. As Adam illustrates, knowledge of these elements of database management can enhance your system performance and lead to a more consistent end-user experience.",Course,2025-07-27 03:25 UTC,2025-07-27 03:21 UTC,false,N/A,
Python Projects,"Canned challenge problems are sufficient practice for brand-new Python developers. But if you're an intermediate programmer looking to bring a novel idea to life, you require more nuanced, in-depth instruction and practice. In this course, instructor Barron Stone helps you learn Python the hands-on way, showing you what it takes to bring a Python project to the finish line. He walks you step by step through his entire development process for a single personal Python project, from initial ideation to building the final installer for distribution. As you follow along, you can observe the thought process that Barron follows, giving you a path to follow to create your own projects.",Course,2025-08-05 00:27 UTC,N/A,true,N/A,
Supervised Learning Essential Training,"Data scientists and ML/AI students may need some practical experience with supervised learning algorithms. In this course, instructor Ayodele Odubela teaches you to apply models you’ve created to new data and to assess model performance. First, Ayodele outlines what supervised learning is and how to make predictions using labeled training data. She gives you an overview of the logistic regression algorithm, how to build a linear model in Python, and how to calculate model metrics. Next, Ayodele helps you create your first decision trees as well as k-nearest neighbors models using GridSearch. Ayodele covers how you can create artificial neural networks that are foundational for most deep learning work. She concludes with an ethical AI overview and asks you to consider the impact of your models.",Course,2025-07-05 21:13 UTC,2025-07-05 21:10 UTC,false,N/A,
Including Sustainability in Your Cloud Strategy (2022),"<p>Learn about the fundamental design principles you need to understand, to make sustainability the cornerstone of your cloud solution architecture. In this course, instructor Fawad Qureshi helps you understand the nuances on how varying design choices result in different carbon consumption. Fawad explains the importance of optimization for sustainability, then goes over foundational concepts such as types of emissions, factors impacting electricity consumption, the impact of CPU utilization on carbon consumption, and power usage effectiveness. He discusses how better software design results in a superior parallel efficiency. Fawad covers carbon tax rates and carbon intensity, as well as limitations of CSP sustainability calculators, and then offers a carbon estimation formula using golden coefficients. He walks you through two energy consumption case studies, then highlights the benefits of consolidating your solutions into fewer tech stacks for improved energy utilization. </p><p>This course is part of this <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-sustainable-tech-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft and this <a href=""https://www.linkedin.com/learning/paths/cloud-strategy-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2024-09-05 07:40 UTC,2024-09-05 07:39 UTC,false,N/A,
Python Data Analysis,"<p>Data science has transformed the way that government and industry leaders look at both specific problems and the world at large. Curious about how data analysis works in practice? In this course, instructor Michele Vallisneri explains what it takes to get started with data science using Python.
</p><p>
Michele demonstrates how to set up your analysis environment and provides a refresher on the basics of working with data structures in Python. Then, he jumps into the big stuff: the power of arrays, indexing, and tables in NumPy and pandas. He also guides you through two sample big-data projects: using NumPy to identify and visualize weather patterns and using pandas to analyze the popularity of baby names over the last century. Challenges issued along the way help you practice what you've learned. Plus, learn about the skills in the basic tasks of data analysis: importing and wrangling, summarizing and visualizing, modeling, and reasoning.
 </p>
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Set up: Using Codespaces” video to learn how to get started.</p>",Course,2025-10-31 23:53 UTC,N/A,false,N/A,
Introduction to Career Skills in Data Analytics,"<p>Are you ready to take the first step on your journey as a data analyst? Whatever your goals, you don’t need a background in computer science to get started today. In this course, instructor Robin Hunt gives you a comprehensive, behind-the-scenes look at what it’s really like to be a data analyst, from wielding data concepts and business intelligence skills, to landing your first role and advancing your career.<br><br>Explore the power of data and data analysis to develop a better understanding of the role. Learn about business intelligence, data-driven decision-making, data collection methods, discovery, and interpretation, as well as how to structure, assess, and transform data using core functions in Excel and Power BI. Gather insights from Robin on modeling, visualization, and mapping out the job market as an early-career analyst. By the end of this course, you’ll have the skills you need to set out on a new career path and tackle the Microsoft GSI Data Analytics certification exam. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2025-07-16 19:44 UTC,N/A,false,N/A,
Copilot in PowerPoint: From Prompt to Presentation (2024),"<p>Microsoft 365 Copilot—a new AI-powered feature available for Microsoft 365 apps—can help you create, refine, and format professional-looking presentations in a matter of seconds. In this course, join Microsoft PowerPoint MVP Julie Terberg as she shows you how to use Copilot in PowerPoint from start to finish to craft a complete and compelling presentation.</p><p>Learn how to generate an idea and enter a prompt, directing Copilot to generate new slides specific to your topic. Discover how you can use Copilot to create a presentation from an existing document or from scratch. Julie offers insights on how to refine and customize the text and pictures generated by Copilot, as well as easy-to-apply tips and tricks on using Copilot to save you time in PowerPoint.</p>
<p>
This course is part of these Professional Certificates from Microsoft:
</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-marketing-with-microsoft-365-copilot-professional-certificate"">Generative AI for Marketing with Microsoft 365 Copilot Professional Certificate</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/build-your-generative-ai-productivity-skills-with-microsoft-and-linkedin"">Build Your Generative AI Productivity Skills with Microsoft and LinkedIn</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-sales-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Generative AI for Sales with Microsoft 365 Copilot Professional Certificate</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/microsoft-copilot-for-productivity-by-microsoft-and-linkedin"" target=""_blank"">Microsoft Copilot for Productivity by Microsoft and LinkedIn</a></li>
</ul></p>",Course,2025-12-15 05:23 UTC,2025-12-15 05:23 UTC,false,N/A,
Advanced SQL for Query Tuning and Performance Optimization,"SQL queries can be fast and highly efficient, but they can also be slow and demand excessive CPU and memory resources. For many SQL programmers, occasional bouts with long-running queries and poor performance are simply par for the course. But by gaining a better understanding of how databases translate SQL queries into execution plans, you can take steps to avoid these issues. In this course, Dan Sullivan shows you how to analyze query execution plans and use data modeling strategies to boost query performance. Dan describes how SQL queries are executed, highlights different types of indexes and how they factor in query tuning, covers several methods for performing joins, and discusses how to use partitioning and materialized views to improve performance. Plus, Dan shows you how to run PostgreSQL in GitHub Codespaces so you can get started learning faster.",Course,2025-12-15 05:44 UTC,2025-12-15 05:43 UTC,false,N/A,
Advanced Prompt Engineering Techniques,"When developing AI-powered applications, you move beyond conversational prompting to more advanced strategies. In this course, we’ll explore advanced prompting techniques and strategies like Chain-of-Thought and Tree-of-Thought, clarifying how they work, what sets them apart, and what they are for.",Course,2025-07-03 15:32 UTC,2025-07-03 15:31 UTC,true,N/A,
8 Git Commands You Should Know,"If you’re a software developer, you probably already know that Git is one of the most useful version control systems out there. But while most developers have mastered the basics of Git, it can be a bit harder to take your skills to the next level and become an advanced Git user. In this course, instructor Ronnie Sheer shows you how to make the move from intermediate Git developer to the realm of finely tuned, source control expert.<br><br>Learn eight power-user Git commands that can save you time, prevent bugs, and more. Find out how to increase your productivity as well as minimize your moments of frustration. Ronnie walks you through a few basic tricks like stashing and adding changes, and then turns to more advanced techniques, such as undoing commits, reverting, and setting up precommit hooks. Test out your new skills with Git-command challenges along the way.
<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,2025-07-18 20:16 UTC,N/A,false,N/A,
Microsoft Azure Data Engineer Associate (DP-203) Cert Prep by Microsoft Press,"In this course, Microsoft MVP Tim Warner walks you through what to expect on the DP-203 Data Engineering on Microsoft Azure exam, covering every Exam DP-203 objective in a friendly and logical way. Tim dives into the intricacies of data engineering on Microsoft Azure, focusing on deploying efficient, secure, and robust data processing solutions. Learn how to design and implement diverse data storage strategies, including leveraging Azure Synapse Analytics for managing massive datasets efficiently. Discover techniques for data compression, partitioning, and sharding to optimize storage and access speed. Investigate table geometries, data redundancy, and archival methods to ensure data is both accessible and protected. Ideal for IT professionals, data scientists, and anyone interested in the data engineering capabilities of Azure, this course empowers you to build scalable data solutions and ensure that your data-driven applications perform seamlessly.",Course,2025-07-11 02:28 UTC,N/A,false,N/A,
Microsoft Azure AI Essentials: Workloads and Machine Learning on Azure,"<p>Instructor Ziggy Zulueta helps you develop a foundational understanding of the core concepts of AI, generative AI, natural language processing, computer vision, document intelligence, knowledge mining, content safety, and machine learning on Azure. Get a glimpse into the practical applications of each.  Develop a familiarity with the specific Microsoft Azure AI and ML services available through demos. Learn valuable concepts on responsible AI and harnessing AI for business. After you complete this course and pass the accompanying exam you'll earn a professional certificate, providing an opportunity for you to demonstrate knowledge of machine learning and AI concepts and related Microsoft Azure services. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/microsoft-azure-ai-essentials-professional-certificate-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-07-18 15:32 UTC,2025-07-17 22:02 UTC,false,N/A,
